"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,"Common Reference Period",
"Norway","142","Consumer Price Index, All items, Percentage change, Previous year","PCPI_PC_CP_A_PT","Value",,,,,,,"3.80480103872668","2.8685247545365","5.034849918505","2.28613887188348","0.360492346844621","2.1551727767092","5.27425952920735","2.47161052896494","5.86701538751923","4.18722443998004","3.25056334305301","4.57926975754","3.44829324254209","2.96294951075211","10.6372065264183","6.22386323501297","7.25843582961514","7.41947283637506","9.41176813211892","11.6892234816853","9.16147276547565","9.10383971160296","8.16167154339622","4.50972761206204","10.8786610878661","13.6429608127721","11.3409961685824","8.46524432209221","6.21827411167512","5.71485463958584","7.17649274816349","8.7170474516696","6.6763659877142","4.54614335505381","4.13103348311348","3.43819599109132","2.32808504911854","2.28826933193057","1.37567498071484","2.46036778693721","1.262532491645","2.56692335900259","2.25241329996425","2.36596736596736","3.08550609131277","3.00419703998231","1.28672528415185","2.48782553461784","0.454498502220854","1.53213367609252","2.32934980757546","0.712589073634198","3.75393081761007","2.19738586853571","2.41890639481001","1.28495158809158","0.696864111498249","2.12048620353119","2.04170286707211","2.17113665389527","3.55000000000001","1.87510059552549","2.76483134528794","2.16773003305403","1.28658490707999","",
"Brazil","223","Consumer Price Index, All items, Percentage change, Previous year","PCPI_PC_CP_A_PT","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"101.725072957927","100.54335919485","135.027682230472","192.121733132051","225.989665211895","147.142826237605","228.336162575513","629.114509120897","1430.7237251472","2947.73277248299","432.786661926461","951.962053052818","1927.38079016026","2075.88839757325","66.0070335542482","15.7576656002606","6.92671251629152","3.19507629280057","4.85844749902667","7.04414105947266","6.84035902487523","8.45016437708332","14.7149197228147","6.59718509985962","6.86953720898966","4.18356812896902","3.64127299102653","5.6785939028417","4.88803479876805","5.03872690108065","6.63644962213087","5.40349914037008","6.204310666401","6.32904015516141","9.02990102416129","8.73914352329393","3.44637335032672","3.66485028376724","3.73297621216894","3.21176803803379","",
"Tanzania, United Rep. of","738","Consumer Price Index, All items, Percentage change, Previous year","PCPI_PC_CP_A_PT","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12.6909694699163","16.0010938506338","7.87072364573951","6.13161432988016","5.58816952959302","5.17476629301494","5.31871605228923","3.49445848856184","3.46428057999022","3.29029062798328","",
"Russian Federation","922","Consumer Price Index, All items, Percentage change, Previous year","PCPI_PC_CP_A_PT","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"874.245720380188","307.722635553193","197.414268084251","47.7520122009939","14.761329268806","27.6856798076743","85.7464940960635","20.7987606558703","21.4770072117159","15.7887307914462","13.6632930228666","10.8886157326216","12.6853039507349","9.66865454789265","9.00729868861076","14.1107677840442","11.6473295764118","6.8493923025503","8.44046485932559","5.07474300799149","6.75371026220953","7.82341183865503","15.5344050528404","7.04244762954795","3.68332944412231","2.87829723647888","4.47036660760174","3.38165937237896","",
"Luxembourg","137","Consumer Price Index, All items, Percentage change, Previous year","PCPI_PC_CP_A_PT","Value",,,,,,,"0.575402153653426","4.62329428434313","0.651555089600587","0.38689136804983","0.449620296389832","0.482433590630888","0.895946647339817","2.87632246212671","3.09638151245738","3.33367932929342","3.33167977254569","2.16615698739854","2.62542908963157","2.29443437047158","4.63935344389941","4.67221498041405","5.22568050555544","6.06809835910201","9.54065541660591","10.7176711339198","9.79734643716298","6.70549411450656","3.09466077424649","4.54652779042166","6.29990006244594","8.07294375934598","9.35705099427385","8.66927159808517","6.43585780786993","4.09358778530096","0.294563408545445","-0.056662909389179","1.43659056634905","3.37095887290447","3.25376659083636","3.11835659874853","3.15417375961793","3.58809818535163","2.19476468689066","1.86769424969109","1.18385968843568","1.36751261207942","0.958570110494666","1.02519676474934","3.15076707022592","2.66382110579103","2.07408613571643","2.04984030563516","2.22567916428891","2.48769665164087","2.66631494577072","2.31245861786128","3.40187963025566","0.368041997888912","2.27367911621543","3.4106834106834","2.66284165508018","1.73403963519166","0.6285439854407","0.47474316143779","0.290833333333325","1.73079959118896","1.52819524307372","1.74332075653844","0.81995730212701","",
"Liberia","668","Consumer Price Index, All items, Percentage change, Previous year","PCPI_PC_CP_A_PT","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11.3918966807103","17.489448642993","7.42764305914916","7.28992796890228","8.48816751849398","6.83178703418538","7.57730681741402","9.86111285574916","7.74869687621312","8.83424868336492","12.4196323907137","23.5635148953742",,,"",
"Lithuania","946","Consumer Price Index, All items, Percentage change, Previous year","PCPI_PC_CP_A_PT","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1020.62056524354","410.451858561316","72.2546816164428","39.647629032829","24.62519538645","8.88104848465889","5.06755385841975","0.727550626557435","0.981615478857534","1.36712030817827","0.281506610345512","-1.13430854990244","1.16410252104669","2.65848484065266","3.73912004060656","5.73717382799846","10.9258856241655","4.45304456518531","1.31921362055463","4.13027562645087","3.08998277055416","1.04747937065349","0.103758009433716","-0.884097405500629","0.905525075460449","3.72288862303694","2.69792779208396","2.33450937988024","1.19989444983569","",
"Canada","156","Consumer Price Index, All items, Percentage change, Previous year","PCPI_PC_CP_A_PT","Value","2.67306374228923","10.547396528705","2.59661835748793","-1.00058858151856","0.653983353151012","0.177200236266972","1.35613207547171","3.31588132635254","2.36486486486486","1.21012101210121","1.35869565217391","1.01876675603216","1.0615711252654","1.62815126050421","1.91214470284238","2.33265720081136","3.81565906838455","3.57995226730308","4.05529953917053","4.56155890168289","3.34603981363828","2.70491803278689","4.9880287310455","7.48764728240212","10.997171145686","10.672188595094","7.54173862982152","7.97644539614563","8.97372335151214","9.14467697907189","10.1292205085452","12.4716124148372","10.768971899714","5.86358802977365","4.30477830391736","3.96203054065208","4.19478629085617","4.3561087122174","4.02823414871609","4.98362189985961","4.78047693336305","5.62586408593002","1.49013290374547","1.86507936507936","0.165562913907284","2.14876033057852","1.57053112507139","1.62121638084528","0.995942456658066","1.73484295105918","2.71943995691974","2.52512013979905","2.25839440940855","2.75856321360113","1.85725871857261","2.21355203439764","2.00202539534156","2.13838399266842","2.37027067444294","0.29946680300929","1.77687154092629","2.91213508872354","1.51567823124522","0.938291897815217","1.90663590717872","1.1252413609428","1.4287595470108","1.59688412852971","2.268225672481","1.94926902411595","0.716999632307856","",
"France","132","Consumer Price Index, All items, Percentage change, Previous year","PCPI_PC_CP_A_PT","Value",,,,,,,"1.89731421813171","3.05767065251234","15.2605258586176","5.81525587278051","4.13993575518429","2.4004610454632","5.33128007065639","4.99915289796851","3.211191702931","2.70310455873081","2.60200076636454","2.79177709435143","4.54320486402015","6.04596284173893","5.29964124562671","5.3975186559511","6.06300309718189","7.38060106398913","13.6493174728138","11.6859272493228","9.6254957815553","9.49455467190429","9.25055846724438","10.6467341716663","13.5625788483016","13.3144055680071","11.9784719523805","9.45954847235315","7.6738026224732","5.83109973854515","2.53852591781417","3.28889821400135","2.70081527508112","3.49830220700747","3.19428338029482","3.21340732409683","2.36376046269355","2.1044627712464","1.65551532926997","1.79648142095594","1.98288365089734","1.20394294026966","0.651126867833039","0.537141639134607","1.67595988720929","1.634780795496","1.9234122872706","2.09847219146923","2.14208964640242","1.74586936380481","1.67512449608728","1.48799805953858","2.81286194914788","0.0876204781574478","1.53112270420924","2.11159795174999","1.95419531613505","0.863715497861832","0.507758822937958","0.0375143805125383","0.183334861123832","1.03228275064675","1.85081508315495","1.1082549228829","0.476498852725094","",
"Cayman Islands","377","Consumer Price Index, All items, Percentage change, Previous year","PCPI_PC_CP_A_PT","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.276140861750094","1.32543575779668","1.18894845245605","2.16061146813395","1.27397911533384","-2.34752770165615","-0.625258358618096",,,,,"",
